type:    6
K         1
    1	K	1	K	K	1	1.000	39.0983

Li	1
    1   Li      1       Li      Li      1       1.000   6.941

Na         1
    1   Na      1       Na      Na      1       1.000   22.989768

PC(O)        13
     1         C2      1    PC      C2    0     0.194     12.0110
     2         H2      1    PC     H21    0     0.008     1.00800
     3         H2      1    PC     H22    0     0.008     1.00800
     4         OA      1    PC      OA    0    -0.460     16.0000
     5          C      1    PC       C    0     0.878     12.0110
     6          O      1    PC       O    1    -0.476     16.0000
     7         OB      1    PC      OB    0    -0.507     16.0000
     8         C1      1    PC      C1    0     0.349     12.0110
     9         H1      1    PC      H1    0     0.032     1.00800
    10         C3      1    PC      C3    0    -0.365     12.0110
    11         H3      1    PC     H31    0     0.113     1.00800
    12         H3      1    PC     H32    0     0.113     1.00800
    13         H3      1    PC     H33    0     0.113     1.00800

PC        13
     1         C2      1    PC      C2    1     0.194     12.0110
     2         H2      1    PC     H21    2     0.008     1.00800
     3         H2      1    PC     H22    3     0.008     1.00800
     4         OA      1    PC      OA    4    -0.460     16.0000
     5          C      1    PC       C    5     0.878     12.0110
     6          O      1    PC       O    6    -0.476     16.0000
     7         OB      1    PC      OB    7    -0.507     16.0000
     8         C1      1    PC      C1    8     0.349     12.0110
     9         H1      1    PC      H1    9     0.032     1.00800
    10         C3      1    PC      C3   10    -0.365     12.0110
    11         H3      1    PC     H31   11     0.113     1.00800
    12         H3      1    PC     H32   12     0.113     1.00800
    13         H3      1    PC     H33   13     0.113     1.00800

PF6	7
    1   F     1       PF6     F1      1      -0.39  18.998
    2   F     1       PF6     F2      1      -0.39  18.998
    3   F     1       PF6     F3      1      -0.39  18.998
    4   F     1       PF6     F4      1      -0.39  18.998
    5   F     1       PF6     F5      1      -0.39  18.998
    6   F     1       PF6     F6      1      -0.39  18.998
    7   P     1       PF6     P       1       1.34  30.974
